latitude,longitude,precip_detection,precip_quantile,tp_rollingmax,drought_quantile,drought_detection,DisNo.,iso,disaster_type,start_date,end_date,event_index,start_drought_days,drought_index,precip_var,year,BARE,BUILT,GRASS-MAN,GRASS-NAT,SHRUBS,TREES,WATER,rank
14.1,-14.6,tp_rollingmax,0.95,0.2261653945502877,0.15,pei_30,2016-0449-SEN,SEN,Flood,2016-07-01,2016-09-11,65,40,pei_30,tp_rollingmax,2016,0.0,0.0,53.89553990610329,38.45070422535211,7.323943661971831,0.3298122065727699,0.0,4.0
-21.2,28.2,tp_rollingmax,0.95,0.027258051157175,0.15,pei_90,2016-0523-ZWE,ZWE,Storm,2016-12-09,2016-12-14,368,40,pei_90,tp_rollingmax,2016,0.0,0.0,23.5625,59.87954545454546,14.025,1.6534090909090908,0.8795454545454545,4.0
25.3,68.6,tp_rollingmax,0.95,0.0866677387723924,0.15,pei_90,2016-0554-PAK,PAK,Flood,2016-08-06,2016-08-07,71,40,pei_90,tp_rollingmax,2016,0.0,0.0,99.77973568281938,0.0308370044052863,0.0,0.0,0.1894273127753304,4.0
-19.8,26.9,tp_rollingmax,0.95,0.0762498809623991,0.15,pei_90,2017-0091-ZWE,ZWE,Storm,2017-01-01,2017-03-15,372,40,pei_90,tp_rollingmax,2017,0.0,0.0,0.4497716894977169,76.10958904109589,16.44178082191781,6.998858447488584,0.0,4.0
-18.5,15.8,tp_rollingmax,0.95,0.0869780915597294,0.15,pei_90,2017-0106-NAM,NAM,Flood,2017-01-01,2017-03-15,76,40,pei_90,tp_rollingmax,2017,0.573394495412844,0.0,15.996559633027523,80.38646788990826,0.0,0.0848623853211009,2.958715596330275,4.0
20.4,92.7,tp_rollingmax,0.95,0.1349377066100269,0.15,pei_90,2017-0152-MMR,MMR,Storm,2017-06-01,2017-06-09,376,40,pei_90,tp_rollingmax,2017,0.0738636363636363,0.0,45.58522727272727,23.418181818181814,4.036363636363636,16.631818181818183,10.254545454545454,4.0
16.4,-96.0,tp_rollingmax,0.95,0.1575334033375884,0.15,pei_90,2017-0168-MEX,MEX,Storm,2017-06-01,2017-06-03,377,40,pei_90,tp_rollingmax,2017,0.0,0.0081395348837209,0.8546511627906976,67.15581395348838,14.704651162790698,17.27674418604651,0.0,4.0
13.7,6.4,tp_rollingmax,0.95,0.032114289047142,0.15,pei_90,2017-0186-NER,NER,Flood,2017-06-13,2017-06-19,77,40,pei_90,tp_rollingmax,2017,5.78066037735849,0.0,66.66863207547169,27.55070754716981,0.0,0.0,0.0,4.0
-3.2,38.5,tp_rollingmax,0.95,0.0858090632687595,0.15,pei_90,2017-0205-KEN,KEN,Flood,2017-05-08,2017-05-16,80,40,pei_90,tp_rollingmax,2017,0.0,0.0,31.026829268292683,25.546341463414635,43.25731707317073,0.1695121951219512,0.0,4.0
33.5,74.1,tp_rollingmax,0.95,0.1743034188198092,0.15,pei_30,2017-0243-PAK,PAK,Flood,2017-06-26,2017-09-11,83,40,pei_30,tp_rollingmax,2017,0.0,0.0,32.21774193548387,51.16633064516129,0.0,16.61592741935484,0.0,4.0
24.0,71.7,tp_rollingmax,0.95,0.2912688428209992,0.15,pei_30,2017-0257-IND,IND,Flood,2017-06-01,2017-06-30,84,40,pei_30,tp_rollingmax,2017,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0
40.6,116.1,tp_rollingmax,0.95,0.0894538607875564,0.15,pei_90,2017-0261-CHN,CHN,Flood,2017-07-06,2017-07-09,85,40,pei_90,tp_rollingmax,2017,0.0,0.1824074074074074,36.75370370370371,50.61944444444445,0.0,12.444444444444445,0.0,4.0
24.5,85.2,tp_rollingmax,0.95,0.0622925491354724,0.15,pei_90,2017-0265-IND,IND,Storm,2017-07-08,2017-07-11,380,40,pei_90,tp_rollingmax,2017,0.0,0.0,21.26101321585903,64.36123348017621,0.0,14.377753303964758,0.0,4.0
24.3,72.8,tp_rollingmax,0.95,0.4929374679036629,0.15,pei_30,2017-0294-IND,IND,Flood,2017-06-01,2017-08-15,87,40,pei_30,tp_rollingmax,2017,0.0,0.0,41.352097130242825,55.469094922737305,0.0,3.178807947019868,0.0,4.0
27.6,-112.6,tp_rollingmax,0.95,0.1194930623485129,0.15,pei_90,2017-0376-MEX,MEX,Storm,2017-08-30,2017-09-02,381,40,pei_90,tp_rollingmax,2017,0.0,0.0,0.0,83.87553648068669,16.04184549356223,0.0826180257510729,0.0,4.0
-28.2,30.6,tp_rollingmax,0.95,0.0322770070049169,0.15,pei_30,2017-0462-ZAF,ZAF,Storm,2017-10-09,2017-10-10,395,40,pei_30,tp_rollingmax,2017,0.0922746781115879,0.0,21.54184549356223,71.34978540772532,0.0858369098712446,6.930257510729613,0.0,4.0
26.4,85.1,tp_rollingmax,0.95,0.0428570851833917,0.15,pei_30,2017-0569-IND,IND,Storm,2017-05-28,2017-05-28,396,40,pei_30,tp_rollingmax,2017,0.2804347826086956,0.0,94.14565217391304,0.7608695652173914,0.0,0.4195652173913043,4.393478260869565,4.0
-22.1,24.9,tp_rollingmax,0.95,0.0856985622704475,0.15,pei_90,2018-0103-BWA,BWA,Flood,2018-02-23,2018-03-22,100,40,pei_90,tp_rollingmax,2018,0.0,0.0,0.0,84.0,16.0,0.0,0.0,4.0
3.1,39.4,tp_rollingmax,0.95,0.1130071107196423,0.15,pei_90,2018-0132-KEN,KEN,Flood,2018-03-14,2018-05-31,102,40,pei_90,tp_rollingmax,2018,0.0,0.0,0.0,77.06829268292682,22.928048780487806,0.0036585365853658,0.0,4.0
2.1,42.3,tp_rollingmax,0.95,0.0535708640750025,0.15,pei_90,2018-0133-SOM,SOM,Flood,2018-04-01,2018-05-31,103,40,pei_90,tp_rollingmax,2018,0.0,0.0,63.25731707317073,30.464634146341464,5.939024390243903,0.3390243902439024,0.0,4.0
22.0,87.9,tp_rollingmax,0.95,0.0414765517864041,0.15,pei_90,2018-0149-IND,IND,Storm,2018-05-13,2018-05-16,400,40,pei_90,tp_rollingmax,2018,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0
16.6,73.4,tp_rollingmax,0.95,0.0591949400494613,0.15,pei_30,2018-0199-IND,IND,Storm,2018-06-01,2018-06-06,404,40,pei_30,tp_rollingmax,2018,0.0,0.0,51.15,40.14883720930233,0.0,0.427906976744186,8.273255813953488,4.0
24.4,82.8,tp_rollingmax,0.95,0.0285551752895401,0.15,pei_30,2018-0202-IND,IND,Storm,2018-06-08,2018-06-12,405,40,pei_30,tp_rollingmax,2018,0.0,0.0,43.82819383259912,47.209251101321584,1.6387665198237886,7.323788546255507,0.0,4.0
