latitude,longitude,precip_detection,precip_quantile,tp_rollingmax,drought_quantile,drought_detection,DisNo.,iso,disaster_type,start_date,end_date,event_index,start_drought_days,drought_index,precip_var,year,BARE,BUILT,GRASS-MAN,GRASS-NAT,SHRUBS,TREES,WATER,obs_type,has_control,elevation,elevation_diff,lc_distance,drought_index_value
17.7,94.8,tp_rollingmax,0.95,0.2266277938132676,0.15,pei_90,2016-0232-MMR,MMR,Flood,2016-06-01,2016-06-24,53.0,40,pei_90,tp_rollingmax,2016,0.0,0.0,0.0,65.64400921658986,14.722350230414747,19.63364055299539,0.0,event,none,320.0,0.0,0.0,-5.052331447601318
26.3,85.6,tp_rollingmax,0.95,0.0595985189166797,0.15,pei_90,2016-0234-IND,IND,Storm,2016-06-12,2016-06-12,360.0,40,pei_90,tp_rollingmax,2016,0.0,0.0,86.53695652173913,1.8717391304347823,0.0,0.0934782608695652,11.497826086956522,event,D_only,58.0,0.0,0.0,-5.213572978973389
27.9,81.0,tp_rollingmax,0.95,0.0806232241543163,0.15,pei_90,2016-0237-IND,IND,Storm,2016-06-20,2016-06-21,361.0,40,pei_90,tp_rollingmax,2016,1.8240343347639485,0.0,84.57188841201717,6.365879828326181,0.0,0.2253218884120171,7.012875536480687,event,none,132.0,0.0,0.0,-5.218250751495361
-11.4,38.8,tp_rollingmax,0.95,0.0600167520861215,0.15,pei_90,2016-0248-MOZ,MOZ,Flood,2016-01-05,2016-01-29,54.0,40,pei_90,tp_rollingmax,2016,0.0,0.0,0.0,62.89523809523809,19.386904761904763,17.71785714285714,0.0,event,P_only,246.0,0.0,0.0,-5.3081793785095215
15.7,5.3,tp_rollingmax,0.95,0.0438302860967452,0.15,pei_30,2016-0269-NER,NER,Flood,2016-06-01,2016-09-07,55.0,40,pei_30,tp_rollingmax,2016,5.044392523364486,0.0,1.1682242990654206,93.56308411214954,0.2242990654205607,0.0,0.0,event,D_only,529.0,0.0,0.0,-7.310733795166016
15.0,-1.5,tp_rollingmax,0.95,0.0687480134201904,0.15,pei_90,2016-0272-MLI,MLI,Flood,2016-07-11,2016-07-23,56.0,40,pei_90,tp_rollingmax,2016,0.0,0.0,0.2336448598130841,99.76635514018692,0.0,0.0,0.0,event,both,281.0,0.0,0.0,-7.194366931915283
24.6,81.6,tp_rollingmax,0.95,0.2164972558046574,0.15,pei_90,2016-0276-IND,IND,Flood,2016-07-09,2016-08-22,57.0,40,pei_90,tp_rollingmax,2016,0.0,0.0,100.0,0.0,0.0,0.0,0.0,event,none,344.0,0.0,0.0,-5.925600051879883
14.7,-1.2,tp_rollingmax,0.95,0.0560408971402452,0.15,pei_90,2016-0287-BFA,BFA,Flood,2016-06-21,2016-07-16,58.0,40,pei_90,tp_rollingmax,2016,2.946261682242991,0.0,16.054906542056074,80.94042056074767,0.0,0.058411214953271,0.0,event,both,277.0,0.0,0.0,-7.21916389465332
40.6,22.6,tp_rollingmax,0.95,0.029038974922902,0.15,pei_30,2016-0334-GRC,GRC,Flood,2016-09-05,2016-09-08,61.0,40,pei_30,tp_rollingmax,2016,0.0,0.6138888888888889,98.88888888888889,0.4972222222222222,0.0,0.0,0.0,event,D_only,2.0,0.0,0.0,-4.859866619110107
46.2,27.4,tp_rollingmax,0.95,0.0932734854975386,0.15,pei_90,2016-0426-ROU,ROU,Flood,2016-10-09,2016-10-16,63.0,40,pei_90,tp_rollingmax,2016,0.0,1.3260135135135136,90.07516891891892,3.901182432432433,0.0,4.697635135135135,0.0,event,none,205.0,0.0,0.0,-2.874281644821167
45.4,29.6,tp_rollingmax,0.95,0.0809767686871216,0.15,pei_90,2016-0427-UKR,UKR,Flood,2016-10-12,2016-10-16,64.0,40,pei_90,tp_rollingmax,2016,1.0330508474576272,3.6864406779661016,5.311864406779661,61.24322033898305,11.585593220338984,3.448305084745763,13.691525423728814,event,none,0.0,0.0,0.0,-4.217065811157227
14.0,-14.6,tp_rollingmax,0.95,0.2654181989492964,0.15,pei_30,2016-0449-SEN,SEN,Flood,2016-07-01,2016-09-11,65.0,40,pei_30,tp_rollingmax,2016,0.0,0.1631455399061032,57.960093896713616,34.848591549295776,6.863849765258216,0.1643192488262911,0.0,event,D_only,48.0,0.0,0.0,-6.863352298736572
-18.5,-63.2,tp_rollingmax,0.95,0.0257558198109548,0.15,pei_30,2016-0522-BOL,BOL,Flood,2016-11-26,2016-12-05,69.0,40,pei_30,tp_rollingmax,2016,0.0,0.0,14.162844036697248,67.80045871559633,0.2282110091743119,17.80848623853211,0.0,event,none,480.0,0.0,0.0,-4.2752251625061035
-20.0,27.0,tp_rollingmax,0.95,0.0298590301715979,0.15,pei_90,2016-0523-ZWE,ZWE,Storm,2016-12-09,2016-12-14,368.0,40,pei_90,tp_rollingmax,2016,0.0,0.0,0.6704545454545454,68.30340909090908,22.507954545454545,8.518181818181818,0.0,event,none,1018.0,0.0,0.0,-5.617496013641357
25.2,68.6,tp_rollingmax,0.95,0.0900168968462301,0.15,pei_90,2016-0554-PAK,PAK,Flood,2016-08-06,2016-08-07,71.0,40,pei_90,tp_rollingmax,2016,0.0,0.0077092511013215,99.8898678414097,0.1024229074889867,0.0,0.0,0.0,event,D_only,19.0,0.0,0.0,-6.904530048370361
-19.8,26.8,tp_rollingmax,0.95,0.1028272404113481,0.15,pei_90,2017-0091-ZWE,ZWE,Storm,2017-01-01,2017-03-15,372.0,40,pei_90,tp_rollingmax,2017,0.0,0.0,3.038812785388128,74.11529680365297,18.360730593607308,4.485159817351598,0.0,event,none,974.0,0.0,0.0,-5.329405784606934
-18.6,16.0,tp_rollingmax,0.95,0.0957585965333907,0.15,pei_90,2017-0106-NAM,NAM,Flood,2017-01-01,2017-03-15,76.0,40,pei_90,tp_rollingmax,2017,0.2293577981651376,0.0,13.010321100917432,83.95756880733946,0.036697247706422,0.5963302752293578,2.169724770642202,event,D_only,1092.0,0.0,0.0,-6.806612968444824
20.4,92.8,tp_rollingmax,0.95,0.1388887019832139,0.15,pei_90,2017-0152-MMR,MMR,Storm,2017-06-01,2017-06-09,376.0,40,pei_90,tp_rollingmax,2017,0.0613636363636363,0.0,60.36136363636364,19.764772727272728,3.3,3.3613636363636363,13.151136363636365,event,P_only,4.0,0.0,0.0,-3.95661997795105
16.4,-95.8,tp_rollingmax,0.95,0.2103636703897883,0.15,pei_90,2017-0168-MEX,MEX,Storm,2017-06-01,2017-06-03,377.0,40,pei_90,tp_rollingmax,2017,0.0,0.0,0.0,79.12906976744186,3.616279069767442,17.254651162790697,0.0,event,none,662.0,0.0,0.0,-4.671860218048096
13.7,6.3,tp_rollingmax,0.95,0.0332752281347616,0.15,pei_90,2017-0186-NER,NER,Flood,2017-06-13,2017-06-19,77.0,40,pei_90,tp_rollingmax,2017,1.5212264150943395,0.0,44.22287735849056,54.255896226415096,0.0,0.0,0.0,event,D_only,313.0,0.0,0.0,-6.419050693511963
-3.1,38.5,tp_rollingmax,0.95,0.1103949515080242,0.15,pei_90,2017-0205-KEN,KEN,Flood,2017-05-08,2017-05-16,80.0,40,pei_90,tp_rollingmax,2017,0.0,0.0,27.192682926829267,58.37317073170732,14.429268292682927,0.0048780487804878,0.0,event,none,582.0,0.0,0.0,-4.312534809112549
33.6,73.9,tp_rollingmax,0.95,0.2081389321649795,0.15,pei_30,2017-0243-PAK,PAK,Flood,2017-06-26,2017-09-11,83.0,40,pei_30,tp_rollingmax,2017,0.0,0.0,27.545362903225808,59.49193548387097,0.0,12.95866935483871,0.0040322580645161,event,none,1184.0,0.0,0.0,-4.047117233276367
24.0,71.9,tp_rollingmax,0.95,0.2969404098672227,0.15,pei_30,2017-0257-IND,IND,Flood,2017-06-01,2017-06-30,84.0,40,pei_30,tp_rollingmax,2017,0.0,0.0,96.44444444444444,3.555555555555556,0.0,0.0,0.0,event,D_only,69.0,0.0,0.0,-6.8608717918396
40.5,116.2,tp_rollingmax,0.95,0.0904154673806996,0.15,pei_90,2017-0261-CHN,CHN,Flood,2017-07-06,2017-07-09,85.0,40,pei_90,tp_rollingmax,2017,0.0,1.8605947955390327,38.38940520446096,46.14869888475837,0.0,13.601301115241636,0.0,event,none,745.0,0.0,0.0,-2.9676504135131836
24.4,84.9,tp_rollingmax,0.95,0.0866260854670425,0.15,pei_90,2017-0265-IND,IND,Storm,2017-07-08,2017-07-11,380.0,40,pei_90,tp_rollingmax,2017,0.0,0.0,57.62224669603524,34.99669603524229,0.0,7.381057268722467,0.0,event,none,235.0,0.0,0.0,-5.225843906402588
24.1,72.9,tp_rollingmax,0.95,0.527856825968223,0.15,pei_30,2017-0294-IND,IND,Flood,2017-06-01,2017-08-15,87.0,40,pei_30,tp_rollingmax,2017,0.0,0.0,62.63333333333333,28.866666666666667,0.3911111111111111,3.2355555555555555,4.873333333333333,event,D_only,330.0,0.0,0.0,-6.328762054443359
27.5,-112.4,tp_rollingmax,0.95,0.1279789337992473,0.15,pei_90,2017-0376-MEX,MEX,Storm,2017-08-30,2017-09-02,381.0,40,pei_90,tp_rollingmax,2017,0.0,0.0,0.0,82.72532188841201,16.376609442060087,0.898068669527897,0.0,event,none,337.0,0.0,0.0,-5.836793899536133
43.6,10.4,tp_rollingmax,0.95,0.0529161215887191,0.15,pei_30,2017-0408-ITA,ITA,Storm,2017-09-09,2017-09-10,393.0,40,pei_30,tp_rollingmax,2017,3.2411347517730498,4.011524822695035,69.29166666666667,7.102836879432624,0.0,15.955673758865249,0.3971631205673759,event,none,8.0,0.0,0.0,-4.510439395904541
-29.7,30.6,tp_rollingmax,0.95,0.0542581143812295,0.15,pei_90,2017-0462-ZAF,ZAF,Storm,2017-10-09,2017-10-10,395.0,40,pei_90,tp_rollingmax,2017,0.0,0.938818565400844,21.501054852320674,44.65084388185654,14.117088607594935,18.792194092827003,0.0,event,P_only,547.0,0.0,0.0,-1.6694506406784058
24.1,-99.2,tp_rollingmax,0.95,0.0279739067225024,0.15,pei_90,2017-0498-MEX,MEX,Flood,2017-09-26,2017-10-07,95.0,40,pei_90,tp_rollingmax,2017,0.0,0.0,74.12666666666667,6.444444444444445,10.982222222222225,8.446666666666667,0.0,event,P_only,232.0,0.0,0.0,-3.946711540222168
